"iso_3166","iso_3166_2","period_start_date","period_end_date","disease","nesting_disease","basal_disease","cases_this_period","location","location_type","time_scale","historical_disease","historical_disease_family","historical_disease_subclass","days_this_period","period_mid_date","population","record_origin","original_dataset_id","digitization_id","scan_id"
"CA","CA-ON","1974-04-21","1974-04-27","measles","","measles",206,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-04-24",8239089,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-04-28","1974-05-04","measles","","measles",167,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-05-01",8241305,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-05-05","1974-05-11","measles","","measles",247,"ONT.","province","wk","measles","","",7,"1974-05-08",8243520,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1974-05-12","1974-05-18","measles","","measles",247,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-05-15",8245736,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-05-19","1974-05-25","measles","","measles",169,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-05-22",8247951,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-05-26","1974-06-01","measles","","measles",128,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-05-29",8250167,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-05-31","1974-06-06","measles","","measles",249,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-06-03",8252382,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-06-09","1974-06-15","measles","","measles",114,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-06-12",8254597,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-06-16","1974-06-22","measles","","measles",125,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-06-19",8256813,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-06-23","1974-06-29","measles","","measles",200,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-06-26",8259028,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part3"
