"iso_3166","iso_3166_2","period_start_date","period_end_date","disease","nesting_disease","basal_disease","cases_this_period","location","location_type","time_scale","historical_disease","historical_disease_family","historical_disease_subclass","days_this_period","period_mid_date","population","record_origin","original_dataset_id","digitization_id","scan_id"
"CA","CA-ON","2012-04-01","2012-04-07","influenza","","influenza",175,"ONT.","province","wk","influenza","","",7,"2012-04-04",13420505,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-04-08","2012-04-14","influenza","","influenza",177,"ONT.","province","wk","influenza","","",7,"2012-04-11",13422803,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-04-15","2012-04-21","influenza","","influenza",145,"ONT.","province","wk","influenza","","",7,"2012-04-18",13425101,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-04-22","2012-04-28","influenza","","influenza",107,"ONT.","province","wk","influenza","","",7,"2012-04-25",13427399,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-04-29","2012-05-05","influenza","","influenza",98,"ONT.","province","wk","influenza","","",7,"2012-05-02",13429697,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-05-06","2012-05-12","influenza","","influenza",56,"ONT.","province","wk","influenza","","",7,"2012-05-09",13431995,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-05-13","2012-05-19","influenza","","influenza",38,"ONT.","province","wk","influenza","","",7,"2012-05-16",13434293,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-05-20","2012-05-26","influenza","","influenza",16,"ONT.","province","wk","influenza","","",7,"2012-05-23",13436591,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-05-27","2012-06-02","influenza","","influenza",7,"ONT.","province","wk","influenza","","",7,"2012-05-30",13438889,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-06-03","2012-06-09","influenza","","influenza",6,"ONT.","province","wk","influenza","","",7,"2012-06-06",13441186,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-06-10","2012-06-16","influenza","","influenza",2,"ONT.","province","wk","influenza","","",7,"2012-06-13",13443484,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-06-17","2012-06-23","influenza","","influenza",2,"ONT.","province","wk","influenza","","",7,"2012-06-20",13445782,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-06-24","2012-06-30","influenza","","influenza",0,"ONT.","province","wk","influenza","","",7,"2012-06-27",13448080,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-07-01","2012-07-07","influenza","","influenza",1,"ONT.","province","wk","influenza","","",7,"2012-07-04",13450378,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-07-08","2012-07-14","influenza","","influenza",4,"ONT.","province","wk","influenza","","",7,"2012-07-11",13452676,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-07-15","2012-07-21","influenza","","influenza",2,"ONT.","province","wk","influenza","","",7,"2012-07-18",13454974,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-07-22","2012-07-28","influenza","","influenza",6,"ONT.","province","wk","influenza","","",7,"2012-07-25",13457272,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-07-29","2012-08-04","influenza","","influenza",0,"ONT.","province","wk","influenza","","",7,"2012-08-01",13459570,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-08-05","2012-08-11","influenza","","influenza",1,"ONT.","province","wk","influenza","","",7,"2012-08-08",13461868,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-08-12","2012-08-18","influenza","","influenza",1,"ONT.","province","wk","influenza","","",7,"2012-08-15",13464166,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-08-19","2012-08-25","influenza","","influenza",2,"ONT.","province","wk","influenza","","",7,"2012-08-22",13466464,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-08-26","2012-09-01","influenza","","influenza",1,"ONT.","province","wk","influenza","","",7,"2012-08-29",13468762,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-09-02","2012-09-08","influenza","","influenza",0,"ONT.","province","wk","influenza","","",7,"2012-09-05",13471060,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-09-09","2012-09-15","influenza","","influenza",1,"ONT.","province","wk","influenza","","",7,"2012-09-12",13473358,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-09-16","2012-09-22","influenza","","influenza",2,"ONT.","province","wk","influenza","","",7,"2012-09-19",13475655,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-09-23","2012-09-29","influenza","","influenza",2,"ONT.","province","wk","influenza","","",7,"2012-09-26",13477953,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-09-30","2012-10-06","influenza","","influenza",3,"ONT.","province","wk","influenza","","",7,"2012-10-03",13480251,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-10-07","2012-10-13","influenza","","influenza",10,"ONT.","province","wk","influenza","","",7,"2012-10-10",13482549,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-10-14","2012-10-20","influenza","","influenza",15,"ONT.","province","wk","influenza","","",7,"2012-10-17",13484847,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-10-21","2012-10-27","influenza","","influenza",24,"ONT.","province","wk","influenza","","",7,"2012-10-24",13487145,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-10-28","2012-11-03","influenza","","influenza",26,"ONT.","province","wk","influenza","","",7,"2012-10-31",13489443,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-11-04","2012-11-10","influenza","","influenza",67,"ONT.","province","wk","influenza","","",7,"2012-11-07",13491741,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-11-11","2012-11-17","influenza","","influenza",103,"ONT.","province","wk","influenza","","",7,"2012-11-14",13494039,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-11-18","2012-11-24","influenza","","influenza",181,"ONT.","province","wk","influenza","","",7,"2012-11-21",13496337,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-11-25","2012-12-01","influenza","","influenza",314,"ONT.","province","wk","influenza","","",7,"2012-11-28",13498635,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-12-02","2012-12-08","influenza","","influenza",441,"ONT.","province","wk","influenza","","",7,"2012-12-05",13500933,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-12-09","2012-12-15","influenza","","influenza",710,"ONT.","province","wk","influenza","","",7,"2012-12-12",13503231,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
